address,phone,alert,closed,pharmacyOnly
"5158 N LINCOLN AVE
CHICAGO, IL 60625
",773-907-8490,,FALSE,FALSE
"4801 N LINCOLN AVE
CHICAGO, IL 60625
",773-561-2526,,FALSE,FALSE
"4343 N KEDZIE AVE
CHICAGO, IL 60618
",773-604-4419,,FALSE,FALSE
"3153 W IRVING PARK RD
CHICAGO, IL 60618
",773-588-9196,,FALSE,FALSE
"3019 W PETERSON AVE
CHICAGO, IL 60659
",773-728-6254,,FALSE,FALSE
"4010 W LAWRENCE AVE
CHICAGO, IL 60630
",773-286-0309,,FALSE,FALSE
"2301 W IRVING PARK RD
CHICAGO, IL 60618
",773-267-8410,,FALSE,FALSE
"6140 N WESTERN AVE
CHICAGO, IL 60659
",773-764-0050,,FALSE,FALSE
"4001 W IRVING PARK RD
CHICAGO, IL 60641
",773-685-3527,This store is closed temporarily,TRUE,FALSE
"1500 W WILSON AVE
CHICAGO, IL 60640
",773-907-8995,,FALSE,FALSE
"5440 N CLARK ST
CHICAGO, IL 60640
",773-596-5022,,FALSE,FALSE
"3358 N WESTERN AVE
CHICAGO, IL 60618
",773-327-2111,,FALSE,FALSE
"3424 W BELMONT AVE
CHICAGO, IL 60618
",773-267-2328,,FALSE,FALSE
"5625 N RIDGE AVE
CHICAGO, IL 60660
",773-989-7546,,FALSE,FALSE
"3222 N MILWAUKEE AVE
CHICAGO, IL 60618
",773-481-5876,,FALSE,FALSE
"Howard Brown Health System Pharmacy
6500 N CLARK ST
CHICAGO, IL 60626
",773-681-5033,Pharmacy only,FALSE,TRUE
"4040 N CICERO AVE
CHICAGO, IL 60641
",773-283-5321,This store is closed temporarily,TRUE,FALSE
"6121 N BROADWAY ST
CHICAGO, IL 60660
",773-764-8961,,FALSE,FALSE
"6798 N LINCOLN AVE
LINCOLNWOOD, IL 60712
",847-674-6350,,FALSE,FALSE
"4720 N MARINE DR
CHICAGO, IL 60640
",773-769-1315,,FALSE,FALSE
"Walgreens Pharmacy at Howard Brown Health Center
4025 N SHERIDAN RD
CHICAGO, IL 60613
",773-528-8314,Pharmacy only,FALSE,TRUE
"1649 W BELMONT AVE
CHICAGO, IL 60657
",773-281-8439,,FALSE,FALSE
"2744 N CALIFORNIA AVE
CHICAGO, IL 60647
",773-342-2818,,FALSE,FALSE
"953 W IRVING PARK RD
CHICAGO, IL 60613
",773-935-6414,,FALSE,FALSE
"Walgreens Pharmacy at NMPG-Lakeview
1333 W BELMONT AVE
CHICAGO, IL 60657
",773-549-9485,Pharmacy only,FALSE,TRUE
"4745 W BELMONT AVE
CHICAGO, IL 60641
",773-481-0211,Store & photo only,FALSE,FALSE
"3646 N BROADWAY ST
CHICAGO, IL 60613
",773-549-3808,,FALSE,FALSE
"3320 W FULLERTON AVE
CHICAGO, IL 60647
",773-252-8346,,FALSE,FALSE
"7510 N WESTERN AVE
CHICAGO, IL 60645
",773-764-1765,,FALSE,FALSE
"Community Pharmacy
912 W BELMONT AVE
CHICAGO, IL 60657
",773-665-8990,Pharmacy only,FALSE,TRUE
"5230 N MILWAUKEE AVE
CHICAGO, IL 60630
",773-736-8920,,FALSE,FALSE
"4343 N CENTRAL AVE
CHICAGO, IL 60634
",773-427-9456,,FALSE,FALSE
"7410 N CLARK ST
CHICAGO, IL 60626
",773-743-6784,,FALSE,FALSE
"Walgreens Pharmacy at Aris Health by Howard Brown
3245 N HALSTED ST
CHICAGO, IL 60657
",773-248-3160,Pharmacy only,FALSE,TRUE
"3046 N HALSTED ST
CHICAGO, IL 60657
",773-325-0413,,FALSE,FALSE
"Walgreens Pharmacy at Northstar Health Care
2835 N SHEFFIELD AVE
CHICAGO, IL 60657
",773-348-3574,Pharmacy only,FALSE,TRUE
"1520 W FULLERTON AVE
CHICAGO, IL 60614
",773-929-6968,,FALSE,FALSE
