StoreName,Store_Number,Address,Hours,Phone
DollarTree Former A + Store,Store #7387,"4443 N Sheridan Road. Chicago, IL 60640",Open: 9:00am - 9:00pm,872-241-7961
DollarTree Broadway Plaza Shopping Center,Store #635,"5235 North Broadway St Chicago, IL 60640-2303",Open: 8:00am - 9:00pm,773-564-4980
DollarTree Western,Store #3359,"4738 N. Western Ave. Chicago, IL 60625-2013",Open: 8:00am - 9:00pm,773-564-4917
DollarTree Riverfront Plaza,Store #4215,"2593 North Elston Ave Chicago, IL 60647-2018",Open: 8:00am - 9:00pm,773-687-5263
DollarTree Addison Mall,Store #665,"2931 West Addison St. T-15 - T-18 Chicago, IL 60618-4635",Open: 8:00am - 9:00pm,773-564-4136
DollarTree Lincoln Plaza Shopping Center,Store #4693,"5347 N Lincoln Ave. Chicago, IL 60625-2307",Open: 9:00am - 9:00pm,773-564-8364
DollarTree Former Family Dollar Milwaukee,Store #6407,"2252 N. Milwaukee Ave Chicago, IL 60647-4055",Open: 9:00am - 9:00pm,773-687-5264
DollarTree Former CVS Devon,Store #7993,"2825 W Devon Avenue Chicago, IL 60659-1501",Open: 9:00am - 9:00pm,773-765-2111
DollarTree Top Plaza,Store #5537,"4920 N Pulaski Rd Chicago, IL 60630-2813",Open: 9:00am - 9:00pm,773-824-4944
DollarTree Chicago,Store #6621,"3363 N Milwaukee Avenue Chicago, IL 60641-4003",Open: 9:00am - 9:00pm,773-628-0068
DollarTree Devon Lincoln Plaza,Store #4056,"3521 W Devon Ave Chicago, IL 60659-1305",Open: 8:00am - 9:00pm,773-564-1029
DollarTree Frm Unique Thrift Diversey,Store #6417,"4441 W. Diversey Avenue Chicago, IL 60639-1923",Open: 9:00am - 9:00pm,773-687-5355
DollarTree Former Family Fruit Market,Store #733,"4118 N Cicero Avenue Chicago, IL 60641-1808",Open: 8:00am - 9:00pm,773-824-3403
DollarTree Frm Walgreens Armitage,Store #6214,"4225 W. Armitage Avenue Chicago, IL 60639-3617",Open: 8:00am - 9:00pm,773-687-5328
DollarTree Howard & Western Shopping Center,Store #673,"7540 N. Western Ave Chicago, IL 60645-1511",Open: 8:00am - 9:00pm,872-241-7962
DollarTree Fullerton and Cicero,Store #4475,"4800 W Fullerton Ave Chicago, IL 60639-2504",Open: 8:00am - 9:00pm,872-231-6060
DollarTree W Chicago Ave,Store #6898,"3401 W Chicago Ave Chicago, IL 60651-4031",Open: 9:00am - 7:00pm,773-938-3668
DollarTree W Belmont Ave,Store #644,"5616 W Belmont Ave Chicago, IL 60634-5301",Open: 9:00am - 9:00pm,773-628-0090
DollarTree 5708 W Irving Park Rd,Store #6754,"5708 W. Irving Park Road Chicago, IL 60634-2607",Open: 9:00am - 9:00pm,773-824-4205
DollarTree Former CVS Madison,Store #7661,"3146 W Madison Chicago, IL 60612",Open: 8:00am - 8:00pm,773-475-8992
DollarTree Gladstone Corners,Store #798,"5316 N Milwaukee Ave Chicago, IL 60630-1269",Open: 9:00am - 9:00pm,847-720-8984
DollarTree Division St Chicago,Store #6868,"5101 W Division St Chicago, IL 60651",Open: 9:00am - 8:00pm,872-231-6059
DollarTree Freestanding North Avenue,Store #5986,"5469 W North Avenue Chicago, IL 60639-4346",Open: 9:00am - 8:00pm,773-676-1201
DollarTree Evanston Plaza,Store #6267,"1928 Dempster Street Evanston, IL 60202-1016",Open: 9:00am - 9:00pm,847-563-9979
DollarTree 6460 W Fullerton,Store #645,"6460 W. Fullerton.. Chicago, IL 60707",Open: 8:00am - 9:00pm,872-231-6107
DollarTree Frm Walgreens Skokie,Store #7039,"4101 Dempster Street Skokie, IL 60076-2152",Open: 9:00am - 9:00pm,847-779-2802
DollarTree Oak Park,Store #3357,"6405 W North Avenue Oak Park, IL 60302-1003",Open: 8:00am - 9:00pm,708-948-0093
DollarTree W Cermak Rd,Store #6904,"2118 W Cermak Road Chicago, IL 60608-4006",Open: 9:00am - 9:00pm,872-760-3088
DollarTree Cermack Plaza,Store #653,"2517 W. Cermak Road Chicago, IL 60608-3719",Open: 8:00am - 9:00pm,773-475-8947
DollarTree Former Laramie Grocery,Store #866,"3232 N Harlem.. Chicago, IL 60634-4501",Open: 9:00am - 9:00pm,773-676-1026
DollarTree North Harlem,Store #4903,"5435 N Harlem Ave Chicago, IL 60656-1820",Open: 8:00am - 9:00pm,773-628-0252
DollarTree Blvd of North Shore,Store #7990,"9426 Skokie Blvd. Skokie, IL 60077-1311",Open: 9:00am - 9:00pm,847-983-5130
DollarTree Former Zemskys,Store #7725,"3539 W 26th Street Chicago, IL 60623",Open: 9:00am - 8:00pm,773-475-4832
DollarTree Hawthorne Works,Store #707,"4621 W Cermak Rd, #A Cicero, IL 60804-2509",Open: 8:00am - 9:00pm,708-735-8386
DollarTree Riverside Square & Rivers Edge,Store #743,"1514 W 33rd Street Unit 26 Chicago, IL 60608-6330",Open: 8:00am - 9:00pm,773-475-8948
DollarTree Chase Harlem Plaza,Store #5684,"7255 N Harlem Ave Niles, IL 60714-4250",Open: 9:00am - 9:00pm,847-983-5053
DollarTree 3400 S Archer,Store #5617,"3400 S Archer Ave Chicago, IL 60608-2170",Open: 8:00am - 9:00pm,773-475-0419
DollarTree Former Finer Food,Store #8474,"6226 Roosevelt Blvd Oak Park, IL 60304-2312",Open: 9:00am - 9:00pm,708-948-0085
DollarTree Oak Park Plaza,Store #6025,"922 Madison Street Oak Park, IL 60302-4403",Open: 8:00am - 9:00pm,708-948-0231
DollarTree Wishing Well Chicago,Store #7606,"5836 W 26th Street Cicero, IL 60804",Open: 9:00am - 9:00pm,708-735-8385
DollarTree Winston Plaza,Store #655,"1320 Winston Plaza Melrose Park, IL 60160-1508",Open: 8:00am - 9:00pm,708-538-3106
DollarTree Archer Kedzie Plaza,Store #5705,"4315 S Archer Avenue Chicago, IL 60632-2844",Open: 9:00am - 9:00pm,773-475-0427
