Store_Name,Address,Phone
Chicago SaveaLot,"5555 W North Ave Chicago, IL 60639",(773) 637-2276
Chicago SaveaLot,"420 S Pulaski Chicago, IL 60624",(773) 533-1690
Chicago SaveaLot,"4439 W 63rd St Chicago, IL 60629",(773) 581-9802
Chicago SaveaLot,"344 E 63rd St Chicago, IL 60637",(773) 363-1835
Chicago SaveaLot,"7240 S Stony Island Ave Chicago, IL 60649",(773) 643-4867
Chicago SaveaLot,"2858 E 83rd St Chicago, IL 60617",(773) 375-2961
Chicago SaveaLot,"10700 S Halsted St Chicago, IL 60628",(773) 821-7705
Midlothian,"14404 S Pulaski Midlothian, IL 60445",(708) 239-0430
Richton Park,"3736 Sauk Trail Richton Park, IL 60471",(708) 503-0482
S. Chicago SaveaLot Heights,"3310 Chicago Rd S S. Chicago Heights, IL 60411",(708) 756-2447
