Name,Address,Hours,Phone,Closed
Target Chicago Peterson Ave,"2112 W Peterson Ave, Chicago, IL 60659-4277",Open today: 8:00 am - 9:00 pm,773-761-3001,FALSE
Target Chicago Mid North,"2939 W Addison St, Chicago, IL 60618-4635",Open today: 8:00 am - 9:00 pm,773-604-7680,FALSE
Target Chicago Wilson Yard,"4466 N Broadway St, Chicago, IL 60640-5660",Open today: 8:00 am - 9:00 pm,773-596-2376,FALSE
Target Rogers Park,"6422 N. Sheridan Rd Unit A, Chicago, IL 60626-5336",Open today: 8:00 am - 9:00 pm,773-681-5154,FALSE
Target Chicago Lakeview Ashland,"3300 N. Ashland Ave, Chicago, IL 60657-2109",Open today: 8:00 am - 9:00 pm,773-598-2532,FALSE
Target Chicago Near North,"2656 N Elston Ave, Chicago, IL 60647-2019",Open today: 8:00 am - 9:00 pm,773-252-1994,FALSE
Target Evanston,"2209 Howard St, Evanston, IL 60202-3636",Open today: 8:00 am - 9:00 pm,847-733-1144,FALSE
Target Chicago Lakeview Belmont Stn,"3204 N Clark St, Chicago, IL 60657-1602",Open today: 8:00 am - 9:00 pm,773-598-2480,FALSE
Target Chicago Lincoln Park North,"2650 N. Clark St, Chicago, IL 60614-1523",Open today: 7:00 am - 9:00 pm,773-799-9142,FALSE
Target Niles,"6150 W Touhy Ave, Niles, IL 60714-4621",Open today: 8:00 am - 9:00 pm,847-588-2800,FALSE
Target Chicago Wicker Park,"1664 W Division St, Chicago, IL 60622-3922",Open today: 8:00 am - 9:00 pm,773-598-2638,FALSE
Target Evanston Downtown,"1616 Sherman Ave, Evanston, IL 60201-5621",Open today: 8:00 am - 9:00 pm,847-448-1816,FALSE
Target Skokie IL,"4955 Dempster St, Skokie, IL 60077-1842",Open today: 8:00 am - 9:00 pm,224-601-3390,FALSE
Target Chicago Brickyard,"6525 W Diversey Ave, Chicago, IL 60707-2312",Open today: 8:00 am - 9:00 pm,773-804-3610,FALSE
