Address,Phone,Alert,Closed,PharmacyOnly,StorePhotoOnly,Name
"5158 N LINCOLN AVE
CHICAGO, IL 60625
",773-907-8490,,FALSE,FALSE,FALSE,Walgreens
"4801 N LINCOLN AVE
CHICAGO, IL 60625
",773-561-2526,,FALSE,FALSE,FALSE,Walgreens
"4343 N KEDZIE AVE
CHICAGO, IL 60618
",773-604-4419,,FALSE,FALSE,FALSE,Walgreens
"3153 W IRVING PARK RD
CHICAGO, IL 60618
",773-588-9196,,FALSE,FALSE,FALSE,Walgreens
"3019 W PETERSON AVE
CHICAGO, IL 60659
",773-728-6254,,FALSE,FALSE,FALSE,Walgreens
"4010 W LAWRENCE AVE
CHICAGO, IL 60630
",773-286-0309,,FALSE,FALSE,FALSE,Walgreens
"2301 W IRVING PARK RD
CHICAGO, IL 60618
",773-267-8410,,FALSE,FALSE,FALSE,Walgreens
"6140 N WESTERN AVE
CHICAGO, IL 60659
",773-764-0050,,FALSE,FALSE,FALSE,Walgreens
"4001 W IRVING PARK RD
CHICAGO, IL 60641
",773-685-3527,,FALSE,FALSE,FALSE,Walgreens
"1500 W WILSON AVE
CHICAGO, IL 60640
",773-907-8995,,FALSE,FALSE,FALSE,Walgreens
"5440 N CLARK ST
CHICAGO, IL 60640
",773-596-5022,,FALSE,FALSE,FALSE,Walgreens
"3358 N WESTERN AVE
CHICAGO, IL 60618
",773-327-2111,,FALSE,FALSE,FALSE,Walgreens
"3424 W BELMONT AVE
CHICAGO, IL 60618
",773-267-2328,,FALSE,FALSE,FALSE,Walgreens
"5625 N RIDGE AVE
CHICAGO, IL 60660
",773-989-7546,,FALSE,FALSE,FALSE,Walgreens
"3222 N MILWAUKEE AVE
CHICAGO, IL 60618
",773-481-5876,,FALSE,FALSE,FALSE,Walgreens
"6500 N CLARK ST
CHICAGO, IL 60626
",773-681-5033,Pharmacy only,FALSE,TRUE,FALSE,"Howard Brown Health System Pharmacy
"
"4040 N CICERO AVE
CHICAGO, IL 60641
",773-283-5321,,FALSE,FALSE,FALSE,Walgreens
"6121 N BROADWAY ST
CHICAGO, IL 60660
",773-764-8961,,FALSE,FALSE,FALSE,Walgreens
"6798 N LINCOLN AVE
LINCOLNWOOD, IL 60712
",847-674-6350,,FALSE,FALSE,FALSE,Walgreens
"4720 N MARINE DR
CHICAGO, IL 60640
",773-769-1315,,FALSE,FALSE,FALSE,Walgreens
"4025 N SHERIDAN RD
CHICAGO, IL 60613
",773-528-8314,Pharmacy only,FALSE,TRUE,FALSE,"Walgreens Pharmacy at Howard Brown Health Center
"
"1649 W BELMONT AVE
CHICAGO, IL 60657
",773-281-8439,,FALSE,FALSE,FALSE,Walgreens
"2744 N CALIFORNIA AVE
CHICAGO, IL 60647
",773-342-2818,,FALSE,FALSE,FALSE,Walgreens
"953 W IRVING PARK RD
CHICAGO, IL 60613
",773-935-6414,,FALSE,FALSE,FALSE,Walgreens
"1333 W BELMONT AVE
CHICAGO, IL 60657
",773-549-9485,Pharmacy only,FALSE,TRUE,FALSE,"Walgreens Pharmacy at NMPG-Lakeview
"
"4745 W BELMONT AVE
CHICAGO, IL 60641
",773-481-0211,,FALSE,FALSE,FALSE,Walgreens
"3646 N BROADWAY ST
CHICAGO, IL 60613
",773-549-3808,,FALSE,FALSE,FALSE,Walgreens
"3320 W FULLERTON AVE
CHICAGO, IL 60647
",773-252-8346,,FALSE,FALSE,FALSE,Walgreens
"7510 N WESTERN AVE
CHICAGO, IL 60645
",773-764-1765,,FALSE,FALSE,FALSE,Walgreens
"912 W BELMONT AVE
CHICAGO, IL 60657
",773-665-8990,Pharmacy only,FALSE,TRUE,FALSE,"Community Pharmacy
"
"5230 N MILWAUKEE AVE
CHICAGO, IL 60630
",773-736-8920,,FALSE,FALSE,FALSE,Walgreens
"4343 N CENTRAL AVE
CHICAGO, IL 60634
",773-427-9456,,FALSE,FALSE,FALSE,Walgreens
"7410 N CLARK ST
CHICAGO, IL 60626
",773-743-6784,,FALSE,FALSE,FALSE,Walgreens
"3245 N HALSTED ST
CHICAGO, IL 60657
",773-248-3160,Pharmacy only,FALSE,TRUE,FALSE,"Walgreens Pharmacy at Aris Health by Howard Brown
"
"3046 N HALSTED ST
CHICAGO, IL 60657
",773-325-0413,,FALSE,FALSE,FALSE,Walgreens
"2835 N SHEFFIELD AVE
CHICAGO, IL 60657
",773-348-3574,Pharmacy only,FALSE,TRUE,FALSE,"Walgreens Pharmacy at Northstar Health Care
"
"1520 W FULLERTON AVE
CHICAGO, IL 60614
",773-929-6968,,FALSE,FALSE,FALSE,Walgreens
"3201 N BROADWAY ST
CHICAGO, IL 60657
",773-327-3591,,FALSE,FALSE,FALSE,Walgreens
"3110 W ARMITAGE AVE
CHICAGO, IL 60647
",773-235-6758,,FALSE,FALSE,FALSE,Walgreens
"2001 N MILWAUKEE AVE
CHICAGO, IL 60647
",773-772-2370,,FALSE,FALSE,FALSE,Walgreens
"740 W DIVERSEY PKWY
CHICAGO, IL 60614
",773-929-1097,,FALSE,FALSE,FALSE,Walgreens
"5140 W DIVERSEY AVE
CHICAGO, IL 60639
",773-685-8759,,FALSE,FALSE,FALSE,Walgreens
"4817 W FULLERTON AVE
CHICAGO, IL 60639
",773-889-7411,,FALSE,FALSE,FALSE,Walgreens
"5650 W BELMONT AVE
CHICAGO, IL 60634
",773-777-4611,,FALSE,FALSE,FALSE,Walgreens
"5935 W ADDISON ST
CHICAGO, IL 60634
",773-282-1594,,FALSE,FALSE,FALSE,Walgreens
"331 W SURF ST
CHICAGO, IL 60657
",773-799-9839,Pharmacy only,FALSE,TRUE,FALSE,"Health System Pharmacy
"
"2440 W NORTH AVE
CHICAGO, IL 60647
",773-489-5607,,FALSE,FALSE,FALSE,Walgreens
"635 CHICAGO AVE
EVANSTON, IL 60202
",847-864-8120,,FALSE,FALSE,FALSE,Walgreens
"2500 N CLARK ST
CHICAGO, IL 60614
",773-929-7488,,FALSE,FALSE,FALSE,Walgreens
"1627 N PULASKI RD
CHICAGO, IL 60639
",773-772-5432,,FALSE,FALSE,FALSE,Walgreens
"1601 N MILWAUKEE AVE
CHICAGO, IL 60647
",773-342-9161,,FALSE,FALSE,FALSE,Walgreens
"900 DODGE AVE
EVANSTON, IL 60202
",847-475-7287,,FALSE,FALSE,FALSE,Walgreens
"5600 W TOUHY AVE
NILES, IL 60714
",847-588-1704,,FALSE,FALSE,FALSE,Walgreens
"4850 OAKTON ST
SKOKIE, IL 60077
",847-933-0418,,FALSE,FALSE,FALSE,Walgreens
"834 W ARMITAGE AVE
CHICAGO, IL 60614
",773-687-0709,,FALSE,FALSE,FALSE,Walgreens
"5600 W FULLERTON AVE
CHICAGO, IL 60639
",773-745-1640,,FALSE,FALSE,FALSE,Walgreens
"1372 N MILWAUKEE AVE
CHICAGO, IL 60622
",773-772-0941,,FALSE,FALSE,FALSE,Walgreens
"6310 N NAGLE AVE
CHICAGO, IL 60646
",773-774-2225,,FALSE,FALSE,FALSE,Walgreens
